Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,241.0,10.0,40.0,687.0,0.1,24.5,0.0,0.0,108.00177431106567,,,,,,,,,,,,,,,,,,,,,4.177176150559783,1.5350705749305764,6.380249067652775,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,290.0,11.0,49.0,736.0,0.1,33.5,0.0,0.0,113.17788505554199,,,,,,,,,,,,,,,,,,,,,4.813867398853928,1.70704603092825,6.93853729450668,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,316.0,12.0,26.0,762.0,0.1,15.5,0.0,0.0,116.08537983894348,,,,,,,,,,,,,,,,,,,,,3.422185557894944,1.4878797573572162,6.227764797737315,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,341.0,13.0,25.0,787.0,0.1,12.5,0.0,0.0,118.97077250480652,,,,,,,,,,,,,,,,,,,,,3.1323300745766876,0.9315035464509481,4.006985764811388,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,364.0,14.0,23.0,810.0,0.1,16.5,0.0,0.0,121.82251930236816,,,,,,,,,,,,,,,,,,,,,3.9968367520781087,2.064366625119887,7.061893807159635,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,386.0,15.0,22.0,832.0,0.1,13.5,0.0,0.0,124.29717707633972,,,,,,,,,,,,,,,,,,,,,3.3202200077521056,1.5558085156504333,6.113919395059972,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,416.0,16.0,30.0,862.0,0.1,23.0,0.0,0.0,128.08425378799438,,,,,,,,,,,,,,,,,,,,,4.720310988782218,2.327042189174179,7.756818750495885,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,434.0,17.0,18.0,880.0,0.1,10.0,0.0,0.0,130.31859040260315,,,,,,,,,,,,,,,,,,,,,2.8299989487369124,1.2187298819629566,5.019631031415638,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,0.0,0.0,0.0,0.0,27.0,907.0,0.1,15.5,0.0,0.0,163.0977041721344,,,,,,,,,0.5231245,0.15345713,0.7742151,0.38729647,,,,,10.944716,7.8322525,32.180077,1.5811865,3.3536134964024944,1.362028544800877,5.984365020216837,0.5,2.8401055,0.0,2.8401055,2.8401055,7.12854696939363e-17,0.9999999932528053,2.100604701340764,-2.175551187623619,2.6368835,0.19891654,3.0577502,2.0304399,0.55981636,0.14771281,0.80411154,0.43429318,-0.008289697,0.007636562,-0.0004207481,-0.018593216,3.6161741565044374,1.519431070205774,6.608756700128062,0.5,0.0044057323,0.0,0.0044057323,0.0044057323,0.996563,0.09130461,1.4703717,0.5618055,0.99649507,0.08341602,1.2,0.8
37,2.0,0.0,0.0,33.0,1.0,33.0,940.0,0.1,25.0,0.0,0.0,172.18128752708435,,,,,,,,,,,,,,,,,,,,,4.778742635997608,2.325879092787183,7.846305735342815,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
